,Nava Representation,Tokenized Lemmatized
367,"[u'bane', u'life', u'eat', u'way', u'tuckshop', u'gain', u'pound', u'look', u'picture', u'cream', u'cake', u'make', u'scale', u'groan']","[u'it', u's', u'always', u'been', u'the', u'bane', u'of', u'my', u'life', u'that', u'you', u'can', u'eat', u'your', u'way', u'through', u'a', u'tuckshop', u'without', u'gaining', u'a', u'pound', u'while', u'i', u'only', u'have', u'to', u'look', u'at', u'a', u'picture', u'of', u'a', u'cream', u'cake', u'to', u'make', u'the', u'scales', u'groan']"
368,[u'carry'],"[u'only', u'i', u'had', u'to', u'carry', u'the', u'can', u'for', u'it']"
369,"[u'terrify', u'find', u'horrible', u'catch']","[u'i', u'was', u'terrified', u'of', u'him', u'but', u'i', u'found', u'myself', u'in', u'a', u'horrible', u'catch', u'22', u'situation']"
370,"[u'there', u'ominous', u'dark', u'gather', u'chill', u'wind']","[u'there', u'were', u'ominous', u'dark', u'clouds', u'gathering', u'overhead', u'now', u'and', u'a', u'chill', u'wind']"
371,"[u'there', u'cloud', u'horizon', u'worry']","[u'there', u'was', u'a', u'cloud', u'on', u'the', u'horizon', u'however', u'which', u'worried', u'the', u'bradleys']"
372,"[u'be', u'crux', u'matter']","[u'was', u'this', u'the', u'crux', u'of', u'the', u'matter']"
373,"[u'anyone', u'get', u'bottom', u'detail', u'bill', u'refer', u'earlier', 'not_easy']","[u'it', u'is', u'not', u'always', u'easy', u'for', u'anyone', u'to', u'get', u'to', u'the', u'bottom', u'of', u'every', u'detail', u'of', u'a', u'bill', u'er', u'which', u'refers', u'to', u'earlier', u'legislation']"
374,"[u'go', u'tough', u'hostess', u'retreat']","[u'when', u'the', u'going', u'gets', u'tough', u'where', u'will', u'the', u'hostess', u'retreat', u'to']"
375,"[u'cat', u'seal', u'would', u'high', u'dry']","[u'soon', u'the', u'cat', u's', u'back', u'and', u'the', u'seal', u'would', u'be', u'high', u'and', u'dry']"
376,"[u'leave', u'lurch', u'would', u'talk']","[u'after', u'being', u'left', u'in', u'the', u'lurch', u'like', u'that', u'she', u'would', u'probably', u'have', u'talked']"
377,"[u'hear', u'could', u'murder']","[u'you', u'heard', u'it', u'could', u'be', u'murder']"
378,"[u'necessary', u'patient']","[u'a', u'necessary', u'evil', u'for', u'patients', u'like', u'christine', u'tweddle']"
379,"[u'feel', u'parent', u'begin', u'aware', u'norm', u'worry', u'child', u'sync', u'like', u'peer', u'would', u'would', u'matter', u'would', u'expect', u'year', u'old', u'talk', u'extreme', 'not_say']","[u'i', u'feel', u'that', u'once', u'parents', u'begin', u'to', u'become', u'too', u'aware', u'of', u'norms', u'they', u'worry', u'and', u'therefore', u'unless', u'a', u'child', u'is', u'grossly', u'out', u'of', u'sync', u'if', u'you', u'like', u'with', u'their', u'peers', u'i', u'would', u'not', u'say', u'it', u'would', u'matter', u'but', u'yes', u'one', u'would', u'expect', u'a', u'three', u'year', u'old', u'to', u'be', u'talking', u'at', u'one', u'extreme']"
380,"[u'pickle', u'get']","[u'but', u'i', u'am', u'in', u'a', u'pickle', u'when', u'i', u'get', u'one']"
381,"[u'there', u'thing', u'junk', u'food', u'give', u'quick', u'carbohydrate', u'sugar']","[u'there', u's', u'one', u'thing', u'about', u'junk', u'food', u'it', u'gives', u'you', u'a', u'quick', u'fix', u'of', u'carbohydrates', u'and', u'sugar']"
382,"[u'save', u'bell']","[u'saved', u'by', u'the', u'bell']"
383,"[u'take', u'care', u'surface', u'plastic', 'not_scratch']","[u'take', u'care', u'not', u'to', u'scratch', u'the', u'surface', u'on', u'plastic', u'baths']"
384,"[u'heavy', u'sponsorship', u'art', u'council', u'cash', u'could', u'spell', u'trouble', u'recession', u'hit', u'art', u'budget']","[u'heavy', u'dependence', u'on', u'sponsorship', u'and', u'arts', u'council', u'cash', u'could', u'spell', u'trouble', u'as', u'the', u'recession', u'hits', u'arts', u'budgets']"
385,"[u'may', u'serve', u'let', u'situation', u'spiral', u'control']","[u'this', u'too', u'may', u'merely', u'serve', u'to', u'let', u'the', u'situation', u'spiral', u'out', u'of', u'control']"
386,"[u'away', u'sticky', 'not_forget']","[u'and', u'never', u'forget', u'it', u'is', u'an', u'away', u'match', u'and', u'we', u'are', u'on', u'a', u'sticky', u'wicket']"
387,"[u'stir', u'hornet', u'nest', u'want', u'let', u'everyone', u'know', u'achieve', 'not_trying']","[u'we', u're', u'not', u'trying', u'to', u'stir', u'up', u'a', u'hornet', u's', u'nest', u'but', u'we', u'do', u'want', u'to', u'let', u'everyone', u'know', u'what', u'we', u'are', u'trying', u'to', u'achieve']"
388,"[u'fundamental', u'stumbling', u'sense', 'not_is']","[u'maths', u'is', u'absolutely', u'the', u'fundamental', u'stumbling', u'block', u'is', u'not', u'it', u'in', u'a', u'sense']"
389,"[u'think', u'take', u'bull', u'horn']","[u'but', u'i', u'think', u'it', u'is', u'take', u'the', u'bull', u'by', u'the', u'horns']"
390,"[u'take', u'easy']","[u'they', u'always', u'take', u'the', u'easy', u'way', u'out']"
391,"[u'tar', u'baby']","[u'just', u'like', u'the', u'tar', u'baby', u'eh']"
392,"[u'launch', u'day', u'saw', u'teethe']","[u'the', u'launch', u'day', u'saw', u'a', u'few', u'teething', u'problems']"
393,"[u'hearthwares', u'shall', u'come', u'case', u'need', u'fight', u'way', u'tight']","[u'hearthwares', u'shall', u'come', u'in', u'case', u'we', u'need', u'to', u'fight', u'our', u'way', u'out', u'of', u'some', u'tight', u'spot']"
394,"[u'uphill', u'relegation', u'continue', u'tomorrow']","[u'voice', u'over', u'oxford', u's', u'uphill', u'battle', u'against', u'relegation', u'continues', u'tomorrow', u'at', u'barnsley']"
395,"[u'go', u'hitch']","[u'the', u'boozebuster', u'went', u'off', u'without', u'a', u'hitch']"
396,"[u'batten', u'hatch']","[u'i', u'will', u'batten', u'down', u'the', u'hatches']"
397,"[u'run', u'road', u'get', u'think', u'good', u'close', u'sit', u'minute', u'think', u'cup', u'coffee', u'something']","[u'because', u'when', u'you', u'do', u'run', u'across', u'the', u'road', u'you', u'get', u'to', u'the', u'other', u'side', u'and', u'you', u'are', u'thinking', u'good', u'gracious', u'that', u'was', u'a', u'close', u'shave', u'i', u'will', u'have', u'to', u'sit', u'down', u'for', u'a', u'minute', u'i', u'think', u'i', u'will', u'have', u'a', u'cup', u'of', u'coffee', u'or', u'something']"
398,"[u'parent', u'select', u'insensitive', u'sign', u'distress', u'offspring', u'cry', u'wolf', u'time', u'result', u'parent', u'cry', u'child', u'adult', 'not_take']","[u'parents', u'have', u'been', u'selected', u'to', u'become', u'erm', u'relatively', u'insensitive', u'to', u'signs', u'of', u'distress', u'in', u'the', u'offspring', u'because', u'erm', u'as', u'where', u'they', u'cry', u'wolf', u'all', u'the', u'time', u'and', u'as', u'a', u'result', u'erm', u'parents', u'do', u'not', u'take', u'crying', u'as', u'seriously', u'in', u'children', u'as', u'they', u'do', u'in', u'adults']"
399,"[u'need', u'help', u'give', u'make', u'false', u'fail', u'react', u'daughter', u'dispense', u'risky', u'property', 'not_sure']","[u'you', u'need', u'the', u'help', u'i', u'can', u'give', u'you', u'because', u'if', u'you', u'unknowingly', u'make', u'a', u'false', u'move', u'or', u'fail', u'to', u'react', u'promptly', u'because', u'you', u'are', u'not', u'sure', u'what', u'to', u'do', u'your', u'daughter', u'will', u'be', u'dispensed', u'with', u'as', u'being', u'too', u'risky', u'a', u'property']"
400,"[u'present', u'jittery', u'restless', u'seem', u'fraught', u'danger']","[u'but', u'now', u'in', u'her', u'present', u'jittery', u'restless', u'mood', u'it', u'seemed', u'fraught', u'with', u'danger']"
401,"[u'find', u'action', u'tell', u'tale', 'not_live']","[u'but', u'here', u'and', u'there', u'some', u'found', u'action', u'on', u'this', u'very', u'camp', u'and', u'did', u'not', u'live', u'to', u'tell', u'the', u'tale']"
402,"[u'free', u'call']","[u'for', u'more', u'information', u'and', u'a', u'free', u'booklet', u'called', u'look', u'before', u'you', u'leap']"
403,"[u'edge', u'call', u'go', u'try', u'sail', u'wind', u'boat', u'come', u'upright', u'sail', u'slow', u'stop', u'best', u'make', u'side', u'go', u'know', u'beat', 'not_area', 'not_area']","[u'we', u're', u'on', u'the', u'edge', u'of', u'what', u'we', u'call', u'a', u'no', u'go', u'area', u'if', u'we', u'try', u'to', u'sail', u'any', u'closer', u'to', u'the', u'wind', u'the', u'boat', u'will', u'come', u'upright', u'the', u'sail', u'will', u'flap', u'and', u'we', u'will', u'slow', u'down', u'and', u'stop', u'and', u'so', u'the', u'best', u'we', u'can', u'make', u'either', u'side', u'of', u'the', u'no', u'go', u'area', u'is', u'known', u'as', u'a', u'beat']"
404,"[u'know', u'employee', u'blackmail', u'job', u'risk', u'life', u'limb', u'employer', u'make', u'fat', u'expense']","[u'we', u'know', u'employees', u'are', u'being', u'blackmailed', u'with', u'their', u'jobs', u'to', u'risk', u'life', u'and', u'limb', u'so', u'employers', u'can', u'make', u'a', u'fat', u'profit', u'at', u'our', u'expense']"
405,"[u'message', u'safe', u'free', u'return', u'watch', u'french']","[u'sharpe', u'his', u'message', u'in', u'safe', u'hands', u'was', u'free', u'to', u'return', u'and', u'watch', u'the', u'french']"
406,"[u'best', u'safe']","[u'so', u'it', u'is', u'best', u'just', u'to', u'be', u'er', u'on', u'the', u'safe', u'side']"
407,"[u'first', u'power', u'safety', u'number']","[u'the', u'first', u'type', u'had', u'power', u'and', u'safety', u'in', u'numbers']"
408,"[u'sail', u'wind', u'fleet']","[u'russia', u'and', u'ukraine', u'sail', u'close', u'to', u'the', u'wind', u'on', u'black', u'sea', u'fleet']"
409,"[u'small', u'stake']","[u'it', u's', u'her', u'small', u'child', u'who', u'is', u'at', u'stake']"
410,"[u'watch', u'step']","[u'watch', u'your', u'step']"
411,"[u'mother', u'fall', u'asleep', u'wheel']","[u'possibly', u'his', u'mother', u'had', u'fallen', u'asleep', u'at', u'the', u'wheel']"
412,[u'wink'],"[u'forty', u'winks']"
413,"[u'then', u'cup', u'decaff', u'hit', u'sack']","[u'then', u'the', u'two', u'cups', u'of', u'decaff', u'before', u'you', u'hit', u'the', u'sack']"
414,"[u'lie', u'middle', u'degree', u'equator']","[u'the', u'seychelles', u'lie', u'in', u'the', u'middle', u'of', u'the', u'indian', u'ocean', u'just', u'a', u'few', u'degrees', u'south', u'of', u'the', u'equator']"
415,"[u'return', u'bed', u'go', u'light']","[u'she', u'returned', u'to', u'bed', u'and', u'went', u'out', u'like', u'a', u'light']"
416,"[u'your', u'mother', u'use', u'sleep', u'log']","[u'your', u'mother', u'used', u'to', u'sleep', u'like', u'a', u'log']"
417,"[u'wink', u'last', u'worry', u'alright', 'not_sleep']","[u'i', u'did', u'not', u'sleep', u'a', u'wink', u'last', u'night', u'for', u'worrying', u'about', u'you', u'and', u'if', u'you', u'are', u'alright']"
418,"[u'seat', u'likely', u'neck', u'neck', u'sprint', u'finish', u'spirited']","[u'the', u'oxford', u'west', u'and', u'abingdon', u'seat', u'is', u'likely', u'to', u'be', u'a', u'neck', u'and', u'neck', u'sprint', u'to', u'the', u'finish', u'between', u'the', u'tories', u'and', u'the', u'liberal', u'democrats', u'with', u'labour', u'a', u'more', u'spirited', u'also', u'ran']"
419,"[u'back', u'square']","[u'back', u'to', u'square', u'one', u'again', u'shel']"
420,"[u'let', u'put', u'bag']","[u'there', u'now', u'let', u'us', u'put', u'this', u'in', u'the', u'bag']"
421,"[u'word', u'may', u'bear', u'fruit', u'come', u'ask', u'entry']","[u'and', u'if', u'you', u'ever', u'have', u'word', u'for', u'me', u'that', u'may', u'bear', u'fruit', u'come', u'and', u'ask', u'entry', u'to', u'me', u'wherever', u'i', u'am']"
422,"[u'lead', u'blind']","[u'the', u'dalek', u'killer', u's', u'led', u'us', u'up', u'a', u'blind', u'alley']"
423,"[u'similar', u'bottom', u'fell', u'illustrious', u'sovereign', u'mid', u'investor', u'realise', u'pay', u'per', u'cent', u'melt', u'coin', u'mint', u'million']","[u'in', u'similar', u'fashion', u'the', u'bottom', u'fell', u'out', u'of', u'the', u'illustrious', u'1817', u'sovereign', u'market', u'in', u'the', u'mid', u'1970s', u'when', u'investors', u'realised', u'that', u'they', u'were', u'paying', u'50', u'per', u'cent', u'over', u'the', u'melt', u'price', u'for', u'a', u'coin', u'minted', u'in', u'millions']"
424,"[u'plant', u'say', u'act', u'bring', u'house']","[u'plant', u'says', u'the', u'act', u'll', u'bring', u'the', u'house', u'down']"
425,"[u'look', u'petrol', u'soak', u'wreck', u'swan', u'come', u'grief', u'polluted']","[u'he', u'looked', u'like', u'the', u'petrol', u'soaked', u'wreck', u'of', u'a', u'swan', u'come', u'to', u'grief', u'in', u'a', u'polluted', u'river']"
426,"[u'goal', u'keep', u'course', u'title', u'home', u'win']","[u'two', u'goals', u'from', u'wayne', u'biggins', u'kept', u'stoke', u'on', u'course', u'for', u'the', u'third', u'division', u'title', u'with', u'a', u'3', u'0', u'home', u'win', u'over', u'darlington']"
427,"[u'sink', u'put', u'crest', u'wave']","[u'it', u'all', u'but', u'sunk', u'pompey', u'and', u'put', u'united', u'on', u'the', u'crest', u'of', u'the', u'wave']"
428,"[u'cut', u'loss']","[u'cut', u'your', u'losses', u'woolley']"
429,"[u'dead', u'water', u'range', u'conventional', u'rescue']","[u'she', u'is', u'dead', u'in', u'the', u'water', u'and', u'out', u'of', u'range', u'of', u'our', u'conventional', u'rescue', u'forces']"
430,"[u'say', u'dice', u'load', u'parent']","[u'draper', u'says', u'the', u'dice', u'are', u'loaded', u'against', u'the', u'parents']"
431,[u'downhill'],"[u'it', u's', u'all', u'downhill', u'from', u'now', u'on']"
432,"[u'pass', u'flying', u'colour']","[u'and', u'she', u'passed', u'with', u'flying', u'colours']"
433,"[u'get', u'fly', u'olympic', u'win', u'opening', u'match']","[u'oxford', u'university', u's', u'matthew', u'syed', u'has', u'got', u'off', u'to', u'a', u'flying', u'start', u'in', u'the', u'olympic', u'qualifying', u'tournament', u'in', u'italy', u'winning', u'both', u'his', u'opening', u'matches']"
434,"[u'french', u'auction', u'decide', u'keep', u'foot', u'door', u'lucrative']","[u'but', u'the', u'french', u'auction', u'house', u'has', u'evidently', u'decided', u'to', u'keep', u'its', u'foot', u'in', u'the', u'door', u'of', u'this', u'potentially', u'lucrative', u'market']"
435,"[u'month', u'try', u'get', u'foothold', u'freedom']","[u'this', u'month', u'try', u'to', u'get', u'a', u'foothold', u'on', u'freedom']"
436,"[u'tell', u'elect', u'front']","[u'but', u'i', u'will', u'tell', u'you', u'who', u'evans', u'has', u'elected', u'front', u'runner']"
437,"[u'think', u'anger', u'go', u'get', u'better', u'would', u'realistic', u'responsible']","[u'however', u'if', u'you', u'think', u'your', u'anger', u'is', u'going', u'to', u'get', u'the', u'better', u'of', u'you', u'then', u'you', u'had', u'you', u'would', u'better', u'be', u'realistic', u'and', u'responsible']"
438,"[u'go', u'smoke']","[u'oh', u'go', u'up', u'in', u'smoke']"
439,"[u'elect', u'take', u'office', u'landslide', u'victory', u'month']","[u'president', u'elect', u'clinton', u'takes', u'office', u'in', u'january', u'after', u'a', u'landslide', u'victory', u'over', u'bush', u'earlier', u'this', u'month']"
440,"[u'young', u'section', u'come', u'leap', u'bound', u'last']","[u'the', u'young', u'members', u'section', u'has', u'come', u'on', u'in', u'leaps', u'and', u'bounds', u'in', u'the', u'last', u'few', u'years']"
441,"[u'insurance', u'business', u'cycle', u'low']","[u'the', u'insurance', u'business', u'cycle', u'is', u'also', u'at', u'a', u'low', u'ebb']"
442,"[u'anybody', u'decide', u'make', u'comeback', 'not_fighting']","[u'i', u'am', u'not', u'fighting', u'anybody', u'just', u'because', u'they', u'have', u'decided', u'to', u'make', u'a', u'comeback']"
443,"[u'point', u'technique', u'become', u'personal', u'either', u'make', u'cut', u'stock', u'prepare', u'bud', u'insertion']","[u'at', u'this', u'point', u'technique', u'becomes', u'personal', u'preference', u'you', u'can', u'either', u'make', u'the', u'cut', u'in', u'the', u'stock', u'first', u'and', u'then', u'prepare', u'the', u'bud', u'for', u'insertion']"
444,"[u'put', u'need', u'make', u'headway', u'would', u'notice', u'real']","[u'to', u'put', u'that', u'off', u'she', u'needed', u'to', u'make', u'headway', u'that', u'would', u'be', u'noticed', u'in', u'the', u'real', u'world']"
445,"[u'shoe', u'likely', u'make', u'inroad', u'budget', u'end', u'market']","[u'with', u'six', u'shoes', u'under', u'37', u'diadora', u'is', u'likely', u'to', u'make', u'inroads', u'into', u'the', u'budget', u'end', u'of', u'the', u'market']"
446,"[u'think', u'moment', u'truth']","[u'that', u'she', u'thought', u'will', u'be', u'the', u'moment', u'of', u'truth']"
447,"[u'moment', u'look', u'picture']","[u'for', u'a', u'moment', u'she', u'was', u'looking', u'directly', u'out', u'of', u'the', u'picture']"
448,"[u'imaginative', u'ace', u'able', u'stay', u'pack']","[u'it', u'is', u'only', u'through', u'my', u'imaginative', u'shuffling', u'of', u'the', u'aces', u'that', u'we', u'are', u'able', u'to', u'stay', u'ahead', u'of', u'the', u'pack']"
449,[u'pack'],"[u'well', u'pack', u'it', u'in', u'both', u'of', u'you']"
450,"[u'do', u'pass', u'muster']","[u'do', u'i', u'pass', u'muster']"
451,"[u'outsider', u'half', u'travel', u'thousand', u'mile', u'place', u'sun']","[u'californians', u'are', u'outsiders', u'over', u'half', u'have', u'travelled', u'thousands', u'of', u'miles', u'for', u'a', u'place', u'in', u'the', u'sun']"
452,"[u'tomorrow', u'wife', u'thing', u'guarantee', u'put', u'kibosh', u'whole', 'not_happens']","[u'but', u'tomorrow', u'never', u'happens', u'and', u'worse', u'the', u'wife', u'does', u'the', u'one', u'thing', u'absolutely', u'guaranteed', u'to', u'put', u'the', u'kibosh', u'on', u'the', u'whole', u'matter']"
453,"[u'inflation', u'seem', u'pyrrhic', u'victory', u'tease']","[u'inflation', u'seemed', u'like', u'a', u'pyrrhic', u'victory', u'almost', u'a', u'tease']"
